sentence,tags
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
Artificial intelligence is transforming the world .,ADJ NOUN AUX VERB DET NOUN PUNCT
The quick brown fox jumps over the lazy dog .,DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT
I love machine learning and deep learning !,PRON VERB NOUN NOUN CCONJ ADJ NOUN PUNCT
She sells sea shells by the sea shore .,PRON VERB NOUN NOUN ADP DET NOUN NOUN PUNCT
